"","ID","time","nobs"
"1216",979,19,8
"1217",979,19,8
"1218",980,19,2
"1219",980,19,2
"1220",981,19,2
"1221",981,19,2
"1222",981,19,2
"1223",982,19,2
"1224",983,19,7
"1225",984,19,7
"1226",984,19,7
"1227",985,19,7
"1228",989,20,2
"1229",989,20,2
"1230",990,20,2
"1231",991,20,2
"1232",991,20,2
"1233",992,20,2
"1234",992,20,2
"1235",993,20,2
"1236",993,20,2
